proposition,proposition_type,proposition_concepts,implication,implication_concepts,given_concepts,implicit_given_concepts,requirement,relation_instance,implicit_relations,implicit_operation_in_relation,operation_instance,implicit_operations,gist,moral,notes
Proposition_12,construction,"infinite_straight_line, point, is_placed_on, are_perpendicular",,,"infinite_straight_line, point, is_placed_on, are_perpendicular",,,"is_placed_on(infinite_straight_line, infinite_straight_line)",,,"conduct(infinite_straight_line, infinite_straight_line, point, right_angle)->infinite_straight_line",,,,
Proposition_12,,,,,,,,"are_perpendicular(infinite_straight_line, infinite_straight_line)",,,,,,,
Proposition_13,theorem,"is_placed_on, two, right_angle, equals, angle, are_perpendicular",,,"is_placed_on, two, angle, equals",,,"is_placed_on(infinite_straight_line, infinite_straight_line)",,,"sum(angle, angle)->angle","sum(inclination_of(angle), inclination_of(angle))->inclination_of(angle)",,,
Proposition_13,,,,,,"equals(inclination_of(angle), inclination_of(angle))",,"equals(angle, angle)",,,,,,,
Proposition_13,,,,,,,,is_right_angle(angle),,,,,,,
Proposition_14,theorem,"straight_line, angle, two, part, are_same, negation, is_located_on, equals, are_consecutive",,,"straight_line, angle, two, part, are_same, negation, is_located_on",,,"are_same(part, part)",,,,,,,
Proposition_14,,,,,,,,"are_same(point, point)",,,,,,,
Proposition_14,,,,,,,,"is_placed_on(straight_line, straight_line)",,,,,,,
Proposition_14,,,,,,,,"is_placed_on(straight_line, point)",,,,,,,
Proposition_14,,,,,,,,"are_consecutive(angle, angle)",,,,,,,
Proposition_14,,,,,,,,"equals(angle, angle)","equals(incliantion_of(angle), inclination_of(angle))",,"sum(angle, angle)->angle","sum(inclination_of(angle), inclination_of(angle))",,,
Proposition_14,,,,,,,,is_right_angle(angle),,,,,,,
Proposition_14,,,,,,,,"is_on_the_same_part(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_14,,,,,,,,"are_in_a_straight_line(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_15,theorem,"straight_line, cut, vertex, angle, is_at_vertex",,,,,,"cut(straight_line, straight_line)",,,,,,,
Proposition_15,,,,,,,,"equals(angle, angle)","equals(incliantion_of(angle), inclination_of(angle))",,,,,,
Proposition_15,,,,,,,,is_at_vertex(angle),,,,,,,
Proposition_16,theorem,"one, produce, exterior_angle, interior_angle, is_opposite_to, greater_than, side_of_triangle, is_external, is_internal",,,"one, produce, triangle",,,"is_external(exterior_angle, triangle)",,,produce(side_of_triangle)->finite_straight_line,,,,
Proposition_16,,,,,,,,"is_internal(angle, triangle)",,,,,,,
Proposition_16,,,,,,,,"greater_than(angle, angle)","greater_than(inclination_of(angle), inclination_of(angle))",,,,,,
Proposition_16,,,,,,,,"is_opposite_to(angle, angle)",,,,,,,
Proposition_17,theorem,"triangle, angle, right_angle, smaller_than, taken_together_in_any_way, two",,,"triangle, angle",,,"smaller_than(angle, angle)",,,"taken_together_in_any_way(angle, angle)->angle","taken_together_in_any_way(inclination_of(angle), inclination_of(angle))->inclination_of(angle)",,,
Proposition_17,,,,,,,,,,,"sum(angle, angle)->angle","sum(inclination_of(angle), inclination_of(angle))",,,
Proposition_18,theorem,"triangle, greater, subtended_by, side_of_triangle",,,triangle,,,greater(side_of_triangle),,,,,,,
Proposition_18,,,,,,,,greater(angle),,,,,,,
Proposition_18,,,,,,,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,,Euclid one says that one side subtends one angle. He does not mention the second side.
Proposition_19,theorem,"triangle, greater, angle, side_of_triangle, subtended_by",,,,,,greater(side_of_triangle),,,,,,,
Proposition_19,,,,,,,,greater(angle),,,,,,,
Proposition_19,,,,,,,,"subtended_by(angle, side_of_triangle, side_of_triangle)",,,,,,,
Proposition_20,theorem,"triangle, two, side_of_triangle, remaining, greater_than, taken_together_in_any_way",,,,,,"greater_than(finite_straight_line, finite_straight_line)",,,"taken_together_in_any_way(finite_straight_line, finite_straight_line)->finite_straight_line",,,,Euclid one says that one side subtends one angle. He does not mention the second side.
Proposition_20,,,,,,,,remaining(side_of_triangle),,,,,,,
Proposition_21,theorem,"triangle, one, side_of_triangle, two, end_of_side_of_triangle, construct_on, smaller_than, greater_than, encompassing, construct_inside, remaining",,,,,,"is_placed_on(finite_straight_line, end_of_side_of_triangle)",,,"construct_on(finite_straight_line, end_of_side_of_triangle)->finite_straight_line",,,,
Proposition_21,,,,,,,,remaining(sides_of_triangle),,,"construct_inside(finite_straight_line, triangle)->finite_straight_line",,,,
Proposition_21,,,,,,,,"smaller_than(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_21,,,,,,,,"encompassing(finite_straight_line, finite_straight_line, interior_angle_of_triangle)",,,,,,,
Proposition_21,,,,,,,,"greater_than(angle, angle)",,,,,,,
Proposition_22,construction,"three, finite_straight_line, equals, triangle, construct_from, remaining, greater, taken_together_in_any_way",,,"three, finite_straight_line, equals, remaining, greater, taken_together_in_any_way",,,"equals(finite_straight_line, finite_straight_line)",,,"construct_from(triangle, finite_straight_line, finite_straight_line, finite_straight_line)->triangle",,,,
Proposition_22,,,,,,,,"smaller_than(finite_straight_line, finite_straight_line)",,,"taken_together_in_any_way(finite_straight_line, finite_straight_line)->finite_straight_line",,,,
Proposition_22,,,,,,,,remaining(finite_straight_line),,,,,,,
Proposition_23,construction,"finite_straight_line, point, angle, equals, are_same, construct_from, construct_on",,,"finite_straight_line, point, angle, equals, are_same",,,"are_same(point, point)",,,"construct_from(angle, angle, point, finite_straight_line)->angle",,,,
Proposition_23,,,,,,,,"equals(angle, angle)",,,"construct_on(angle, finite_straight_line)->angle",,,,
Proposition_23,,,,,,,,,,,"construct_on(angle, point)->angle",,,,
Proposition_24,theorem,"triangle, two, side_of_triangle, corresponding, angle, greater_than, base_of_triangle, encompassing",,,"triangle, two, side_of_triangle, corresponding, angle, greater_than, encompassing",,,"equals(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_24,,,,,,,,"greater_than(angle, angle)",,,,,,,
Proposition_24,,,,,,,,"corresponding(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_24,,,,,,,,"encompassing(finite_straight_line, finite_straight_line, interior_angle_of_triangle)",,,,,,,
Proposition_24,,,,,,,,"greater_than(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_25,theorem,"triangle, two, side_of_triangle, corresponding, base_of_triangle, greater_than, angle, encompassing",,,,,,"equals(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_25,,,,,,,,"corresponding(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_25,,,,,,,,"greater_than(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_25,,,,,,,,"greater_than(angle, angle)",,,,,,,
Proposition_25,,,,,,,,"encompassing(finite_straight_line, finite_straight_line, interior_angle_of_triangle)",,,,,,,
Proposition_26,theorem,"triangle, two, side_of_triangle, corresponding,  one, is_placed_on, subtended_by, remaining, disjunction",,,,,,"corresponding(angle, angle)",,,,,,,
Proposition_26,,,,,,,,"equals(side_of_triangle, side_of_triangle)",,,,,,,
Proposition_26,,,,,,,,"equals(angle, angle)",,,,,,,
Proposition_26,,,,,,,,"is_placed_on(side_of_triangle, angle)",,,,,,,"is_placed_on(side_of_triangle, angle, angle)"
Proposition_26,,,,,,,,"subtended_by(side_of_triangle, angle)",,,,,,,
Proposition_26,,,,,,,,remaining(side_of_triangle),,,,,,,
Proposition_26,,,,,,,,remaining(angle),,,,,,,
Proposition_27,theorem,"two, straight_line, falls_on, are_alternate",,,,,,"are_alternate(angle, angle)  ",,,,,,,
Proposition_27,,,,,,,,"falls_on(straight_line, straight_line)",,,,,,,
Proposition_27,,,,,,,,"are_alternate(angle, angle)",,,,,,,
Proposition_27,,,,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_28,theorem,"two, straight_line, falls_on, is_external, is_internal, is_on_the_same_part, is_opposite_to, equals, right_angle, are_parallel",,,,,,"falls_on(straight_line, straight_line)",,,,,,,
Proposition_28,,,,,,,,"is_external(angle, straight_line)",,,,,,,
Proposition_28,,,,,,,,"is_internal(angle, straight_line)",,,,,,,
Proposition_28,,,,,,,,"is_opposite_to(angle, angle)",,,,,,,
Proposition_28,,,,,,,,"is_on_the_same_part(angle, angle, straight_line)",,,,,,,
Proposition_28,,,,,,,,"equals(angle, right_angle)",,,"sum(angle, angle)->angle",,,,
Proposition_28,,,,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_29,theorem,"are_parallel, straight_line, falls_on, are_alternate, equals, angle, corresponding, is_external, is_opposite_to, is_internal, is_on_the_same_part, two, right_angle",,,,,,"are_parallel(straight_line, straight_line)",,,,"sum(angle, angle)->angle",,,
Proposition_29,,,,,,,,"are_alternate(angle, angle)  ",,,,,,,
Proposition_29,,,,,,,,"falls_on(straight_line, straight_line)",,,,,,,
Proposition_29,,,,,,,,"corresponding(angle, angle)",,,,,,,
Proposition_29,,,,,,,,"is_external(angle, straight_line, straight_line)",,,,,,,
Proposition_29,,,,,,,,"is_internal(angle, straight_line, straight_line)",,,,,,,
Proposition_29,,,,,,,,"equals(angle, angle)",,,,,,,
Proposition_29,,,,,,,,"is_opposite_to(angle, angle)",,,,,,,
Proposition_29,,,,,,,,"is_on_the_same_part(angle, angle, straight_line)",,,,,,,
Proposition_30,theorem,"straight_line, are_parallel, are_same",,,,,,"are_parallel(straight_line, straight_line)",,,,,transitivity of are_parallel,,
Proposition_31,construction,"point, straight_line, are_parallel, conduct",,,"point, straight_line",,,"are_parallel(straight_line, straight_line)",,,"conduct_parallel(straight_line, straight_line, point)->straight_line",,,,
Proposition_32,theorem,"triangle, one, side_of_triangle, produce, angle, is_external, two, is_internal, is_opposite_to, equals, three, right_angle",,,,,,"is_external(angle, triangle)",,,produce(side_of_triangle)->finite_straight_line,"sum(angle, angle)->angle",,,
Proposition_32,,,,,,,,"equals(angle, angle)",,,,,,,
Proposition_32,,,,,,,,"is_internal(angle, triangle)",,,,,,,
Proposition_32,,,,,,,,"is_opposite_to(angle, angle)",,,,,,,
Proposition_32,,,,,,,,"is_internal(angle, triangle)",,,,,,,
