concepts,hierarchy,conceptual_components,equivalent_to,opposite_to,type,datatype_property,notes
is_at_vertex,is_located,vertex,,,relation,has_field_of_diagrammatic_objects,
is_center_of,is_located,center,,,relation,has_field_of_diagrammatic_objects,
is_complement_of,is_located,complement,,,relation,has_field_of_diagrammatic_objects,
is_diameter_of_parallelogram,,"diameter, parallelogram",,,relation,has_field_of_diagrammatic_objects,
is_double,,,,,relation,has_field_of_objects,
is_equilateral,,,,,relation,has_field_of_diagrammatic_objects,
is_external,is_located,,,,relation,has_field_of_diagrammatic_objects,
is_external_angle_of,is_external,exterior_angle,,,relation,has_field_of_diagrammatic_objects,
is_half,,,,,relation,has_field_of_objects,
is_internal,is_located,,,,relation,has_field_of_diagrammatic_objects,
is_internal_angle_of,is_internal,interior_angle,,,relation,has_field_of_diagrammatic_objects,
is_located,,,,,relation,has_field_of_diagrammatic_objects,
is_located_on,is_located,,,,relation,has_field_of_diagrammatic_objects,
is_on_the_other_part,,"part, other",,,relation,has_field_of_diagrammatic_objects,
is_on_the_same_part,,"part, are_same",,,relation,has_field_of_diagrammatic_objects,
is_opposite_to,,,,,relation,has_field_of_diagrammatic_objects,
is_parallelogram,,parallelogram,,,relation,has_field_of_diagrammatic_objects,
is_placed_on,,,,,relation,has_field_of_diagrammatic_objects,
is_placed_on_same,,,,,relation,has_field_of_diagrammatic_objects,
is_rectangular,,,,,relation,has_field_of_diagrammatic_objects,
is_right_angle,,right_angle,,,relation,has_field_of_diagrammatic_objects,
is_right_angled,,right_angle,,,relation,has_field_of_diagrammatic_objects,
is_triangle,,triangle,,,relation,has_field_of_diagrammatic_objects,
isosceles_triangle,triangle,,,,object,is_a_diagrammatic_object,
join,,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",modifies the diagram and produces a new diagrammatic object because it changes the drawing (the diagram is a concrete drawing)
join_on_the_same_part,join,"part, are_same",,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
joining_on_the_same_part,,"part, are_same",,,relation,has_field_of_objects,
length,magnitude,,,,object,is_an_abstract_object,
length_of,,length,,,operation,"produces_abstract_object, has_domain_of_diagrammatic_objects",
less_than,smaller,,,,relation,has_field_of_objects,
line,diagrammatic_object,,,,object,is_a_diagrammatic_object,
magnitude,abstract_object,,,,object,is_an_abstract_object,
meet,is_located,,,,relation,has_field_of_diagrammatic_objects,
meet_at_point,meet,point,,,relation,has_field_of_diagrammatic_objects,
meet_on_the_part_of,meet,part,,,relation,has_field_of_diagrammatic_objects,
negation,abstract_object,,,,object,is_an_abstract_object,
object,,,,,object,is_an_abstract_object,
one,abstract_object,,,,object,is_an_abstract_object,
parallelogram,rectilinear_figure,,,,object,is_a_diagrammatic_object,
parallelogrammic_figure,rectilinear_figure,,,,object,is_a_diagrammatic_object,
part,object,,,,object,is_a_diagrammatic_object,there may be type difference between part of figure and part of plane
part,,,,,relation,has_field_of_diagrammatic_objects,?
place_on,place,,,,operation,"produces_new_diagrammatic_object, modifies_diagram, has_domain_of_diagrammatic_objects",
point,figure,,,,object,is_a_diagrammatic_object,
possible,abstract_object,,,,object,is_an_abstract_object,
