relation_instance,relation_instance_concepts,equivalent_to,relation_type,relation_type_concepts,synonym,notes
"is_on_the_other_part(finite_straight_line, point, point)",,,,,,
"is_on_the_same_part(angle, angle, straight_line)",,,"is_on_the_same_part(diagrammatic_object, diagrammatic_object, straight_line)",,,
"is_on_the_same_part(finite_straight_line, finite_straight_line, part)",,,,,,
"is_on_the_same_part(finite_straight_line, finite_straight_line)",,,"is_on_the_same_part(diagrammatic_object, diagrammatic_object, straight_line)",,,
"is_on_the_same_part(triangle, triangle)",,,"is_on_the_same_part(diagrammatic_object, diagrammatic_object, straight_line)",,,
"is_opposite_to(angle, angle)",,,"is_opposite_to(diagrammatic_object, diagrammatic_object, straight_line)",,,
"is_opposite_to(side, side)",,,"is_opposite_to(diagrammatic_object, diagrammatic_object, straight_line)",,,
is_parallelogram(parallelogram),,,,,,
"is_placed_on_same(triangle, triangle, base_of_triangle)",,,,,,
"is_placed_on(base_of_parallelogram, parallelogram)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(base_of_parallelogram, parallelogram)",,,,,,
"is_placed_on(complement_of_parallelogram, diameter_of_parallelogram)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(equilateral_triangle, finite_straight_line)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(finite_straight_line, end_of_side_of_triangle)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(finite_straight_line, finite_straight_line, point)",,,,,,
"is_placed_on(finite_straight_line, finite_straight_line, straight_line)",,,,,,
"is_placed_on(finite_straight_line, finite_straight_line)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(finite_straight_line, point)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(infinite_straight_line, infinite_straight_line)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(parallelogram, base)",,,,,,
"is_placed_on(parallelogram, straight_line)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(side_of_triangle, angle)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
